"order_id","date","customer_name","region","product","category","quantity","unit_price","before_discount_amount","discount_amount","discount_percentage","sales_amount","value_cheking"
"ORD0785","2023-03-08","Customer_66","West","Mobile","Electronics",9,"849.00","7641.00","0.00","0.0000","7641.00","correct"
"ORD0961","2024-12-08","Customer_133","East","Notebook","Office Supplies",3,"2924.00","8772.00","701.76","0.0800","8070.24","correct"
"ORD0962","2023-10-19","Customer_134","South","Mobile","Electronics",1,"410.00","410.00","49.20","0.1200","360.80","correct"
"ORD0963","2024-04-25","Customer_82","West","File","Office Supplies",8,"3917.00","31336.00","3760.32","0.1200","27575.68","correct"
"ORD0964","2024-12-23","Customer_64","North","Laptop","Electronics",5,"360.00","1800.00","324.00","0.1800","1476.00","correct"
"ORD0965","2024-02-05","Customer_181","West","Laptop","Electronics",6,"360.00","2160.00","151.20","0.0700","2008.80","correct"
"ORD0966","2023-08-27","Customer_18","North","Printer","Electronics",6,"1687.00","10122.00","1619.52","0.1600","8502.48","correct"
"ORD0967","2023-08-14","Customer_89","West","Laptop","Electronics",4,"4653.00","18612.00","4280.76","0.2300","14331.24","correct"
"ORD0968","2024-06-05","Customer_80","North","File","Office Supplies",4,"4601.00","18404.00","3312.72","0.1800","15091.28","correct"
"ORD0969","2023-01-08","Customer_58","South","Table","Furniture",3,"1816.00","5448.00","1253.04","0.2300","4194.96","correct"
"ORD0970","2024-07-07","Customer_187","South","Cabinet","Furniture",6,"4848.00","29088.00","7853.76","0.2700","21234.24","correct"
"ORD0971","2024-10-01","Customer_13","North","Monitor","Electronics",7,"4465.00","31255.00","3438.05","0.1100","27816.95","correct"
"ORD0972","2023-03-10","Customer_139","East","Desk","Furniture",6,"1836.00","11016.00","1542.24","0.1400","9473.76","correct"
"ORD0973","2024-06-25","Customer_167","South","Mobile","Electronics",1,"4537.00","4537.00","680.55","0.1500","3856.45","correct"
"ORD0974","2024-04-04","Customer_193","South","Cabinet","Furniture",3,"3880.00","11640.00","2560.80","0.2200","9079.20","correct"
"ORD0975","2023-05-06","Customer_121","West","Mobile","Electronics",9,"2632.00","23688.00","4263.84","0.1800","19424.16","correct"
"ORD0976","2024-01-20","Customer_6","North","File","Office Supplies",10,"2771.00","27710.00","6650.40","0.2400","21059.60","correct"
"ORD0977","2024-11-03","Customer_61","East","Printer","Electronics",8,"4407.00","35256.00","7051.20","0.2000","28204.80","correct"
"ORD0978","2023-03-14","Customer_125","South","Desk","Furniture",2,"4696.00","9392.00","1127.04","0.1200","8264.96","correct"
"ORD0979","2023-07-26","Customer_81","South","Stapler","Office Supplies",5,"554.00","2770.00","360.10","0.1300","2409.90","correct"
"ORD0980","2023-05-10","Customer_139","East","Chair","Furniture",5,"171.00","855.00","256.50","0.3000","598.50","correct"
"ORD0981","2023-06-26","Customer_74","South","Cabinet","Furniture",2,"4768.00","9536.00","190.72","0.0200","9345.28","correct"
"ORD0982","2024-04-26","Customer_181","West","File","Office Supplies",1,"2364.00","2364.00","520.08","0.2200","1843.92","correct"
"ORD0983","2023-02-27","Customer_174","West","Cabinet","Furniture",6,"2189.00","13134.00","1182.06","0.0900","11951.94","correct"
"ORD0984","2024-07-08","Customer_62","East","Mobile","Electronics",8,"2751.00","22008.00","3521.28","0.1600","18486.72","correct"
"ORD0001","2023-06-12","Customer_188","West","Monitor","Electronics",4,"1573.00","6292.00","755.04","0.1200","5536.96","correct"
